Title,Year,Director,Studio,Genre
Hum Tumhare Hain Sanam,2002,K. S. Adhiyaman,,"Drama, Romance"
Humraaz,2002,Abbas–Mustan,,"Thriller, Romance, Musical"
Jaani Dushman: Ek Anokhi Kahani,2002,Rajkumar Kohli,,Fantasy
Jang Aur Aman,2002,Anand Patwardhan,,Documentary
Jeena Sirf Merre Liye,2002,Satish Kaushik,,Romance
Kaante,2002,Sanjay Gupta,,"Action, Thriller"
Kabhie Tum Kabhie Hum,2002,,,"Comedy, Drama"
Karz: The Burden of Truth,2002,Harry Baweja,,"Action, Thriller"
Kehtaa Hai Dil Baar Baar,2002,Rahul Dholakia,,Romance
Kitne Door Kitne Paas,2002,Mehul Kumar,,"Romance, Drama, Comedy"
Koi Mere Dil Se Poochhe,2002,Boney Kapoor,,"Drama, Romance"
Kranti,2002,Naresh Malhotra,,"Action, Drama"
Kuch Tum Kaho Kuch Hum Kahein,2002,K. Ravi Shankar,,Romance
Kya Yehi Pyaar Hai,2002,K. Murali Mohan Rao,,Romance
Kyaa Dil Ne Kahaa,2002,Sanjay Chhel,,Romance
Lal Salaam,2002,Gaganvihari Borate,,"Action, Drama"
Maa Tujhhe Salaam,2002,Tinu Verma,,Drama
Maine Dil Tujhko Diya,2002,Sohail Khan,,"Action, Romance"
Makdee,2002,Vishal Bhardwaj,,"Comedy, Horror"
Maseeha,2002,Partho Ghosh,,Action
Mere Yaar Ki Shaadi Hai,2002,Sanjay Gadhvi,,Romance
"Mitr, My Friend",2002,Revathi,,Drama
Mohabbat Ho Gayi Hai Tumse,2002,Rishi Talwar,,Action
Mujhse Dosti Karoge!,2002,Kunal Kohli,,"Romance, Drama, Comedy, Musical"
Mulaqaat,2002,K. Ravi Shankar,,"Drama, Thriller"
Na Tum Jaano Na Hum,2002,Arjun Sablok,,"Romance, Drama"
Nishad,2002,Shaji N. Karun,,Drama
Om Jai Jagadish,2002,Anupam Kher,,"Family, Drama"
Pitaah,2002,Mahesh Manjrekar,,"Action, Drama"
Pyaar Diwana Hota Hai,2002,Kirti Kumar,,Romance
Pyar Ki Dhun,2002,Samarjit Dasgupta,,"Romance, Drama"
Pyaasa,2002,A. Muthu,,"Action, Crime"
Raaz,2002,Vikram Bhatt,,"Horror, Thriller, Romance, Musical"
Reshma Aur Sultan,2002,S. Kumar,,Action
Rishtey,2002,Indra Kumar,,"Drama, Family"
Road,2002,Rajat Mukherjee,,Thriller
Saathiya,2002,Shaad Ali,,"Drama, Romance, Musical"
Shaheed-E-Azam,2002,Sukumar Nair,,"History, Drama"
