Title,Year,Director,Studio,Genre
Rocket Singh: Salesman of the Year,2009,Shimit Amin,Yash Raj Films,Comedy
"Raat Gayi, Baat Gayi?",2009,Saurabh Shukla,"Percept Picture Company , Pritish Nandy Communications",Drama
3 Idiots,2009,Rajkumar Hirani,"Reliance Big Pictures , Vinod Chopra Films",Comedy
Accident on Hill Road,2009,Mahesh Nair,,Thriller

Dulha Mil Gaya,2010,Muddassar Aziz,,"Romance,Comedy"
Pyaar Impossible!,2010,Jugal Hansraj,Yash Raj Films,"Romance,Comedy"
Chance Pe Dance,2010,Ken Ghosh,UTV Motion Pictures,"Romance , Dance"
Hello! Hum Lallan Bol Rahe Hain,2010,Dileep Shukla,,Comedy
Veer,2010,Anil Sharma,"Eros International , Vijay Galani Movies","Epic, Action, Adventure, Drama, Romance, War, Musical"
Ishqiya,2010,Abhishek Chaubey,"Shemaroo Entertainment , Vishal Bhardwaj Pictures","Romance, Drama, Thriller"
Rann,2010,Ram Gopal Varma,"Vistaar Religare Film Fund, Cinergy, Friday Entertainment Venture","Drama, Thriller"
Road To Sangam,2010,Amit Rai,,Drama
The Hangman,2010,Vishal Bhandari,,Drama
Striker,2010,Chandan Arora,"Indian Films , Studio 18 , Makefilms",Action
Sukhmani: Hope for Life,2010,Manjeet Mann,,Drama
My Name Is Khan,2010,Karan Johar,"Fox Star Studios , Fox Searchlight Pictures , Dharma Productions , Red Chillies Entertainment , Image Nation Abu Dhabi","Thriller, Adventure, Drama, Romance, Comedy"
Aakhari Decision,2010,Deepak Bandhu,,Action
Click,2010,Sangeeth Sivan,Pritish Nandy Communications,Horror
Toh Baat Pakki!,2010,Kedarh Shinde,,"Romance,Comedy"
Karthik Calling Karthik,2010,Vijay Lalwani,"Eros International , Magic Beans Films, Excel Entertainment",Thriller
Teen Patti,2010,Leena Yadav,"Hinduja Ventures, Serendipity Films","Drama, Thriller"
Atithi Tum Kab Jaoge?,2010,Ashwni Dhir,"Warner Bros. Pictures, Wide Frame Films",Comedy
Hello Zindagi,2010,Raja Unnithan,,Drama
"Road, Movie",2010,Dev Benegal,"Indian Films , Studio 18 , August Entertainment",Drama
Rokkk,2010,Rajesh Ranshinge,,Thriller
Thanks Maa,2010,Irfan Kamal,,Drama
Do Dilon Ke Khel Mein,2010,Akash Pandey,,"Romance, Comedy"
Hide & Seek,2010,Shawn Arranha,,Thriller
Na Ghar Ke Na Ghaat Ke,2010,Rahul Aggarwal,,Comedy
Right Yaaa Wrong,2010,Neeraj Pathak,,Action
Trump Card,2010,Arshad Khan,,"Action, Thriller"
Idiot Box,2010,Sunanda Mitra,,Drama
Lahore,2010,Sanjay Puran Singh Chauhan,"Warner Bros. Pictures , Sai Om Films","Action, Drama,Sport"
Love Sex Aur Dhokha,2010,Dibakar Banerjee,"Balaji Motion Pictures , ALT Entertainment, Freshwater Films","Romance, Crime, Comedy, Drama"
Shaapit,2010,Vikram Bhatt,ASA Productions & Enterprises,Horror
Hum Tum Aur Ghost,2010,Kabeer Kaushik,"Indian Films , Shooting Star Films, Studio 18",Comedy
It's a Man's World,2010,Saurabh Sengupta,,Drama
Mittal v/s Mittal,2010,Karan Razdan,,Romance
My Friend Ganesha 3,2010,Rajiv S. Ruia,"Baba Arts, Liquid Pictures",Animation
Prem Kaa Game,2010,Ashok Kheny,,Comedy
Well Done Abba,2010,Shyam Benegal,Reliance Big Pictures,Comedy
Pankh,2010,Sudipto Chattopadhyaya,,Drama
Sadiyaan,2010,Raj Kanwar,,Romance
Tum Milo Toh Sahi,2010,Kabir Sadanand,,"Comedy, Drama"
Jaane Kahan Se Aayi Hai,2010,Milap Zaveri,"Warner Bros. Pictures , People Tree Films","Comedy , Romance , Fantasy"
Prince,2010,Kookie Gulati,,"Action,Sci-Fi,Thriller"
The Japanese Wife,2010,Aparna Sen,,Romance
Paathshaala,2010,Milind Ukey,"Eros International , Paper Doll Entertainment","Drama, Family"
Phoonk 2,2010,Milind Gadagkar,,Horror
Apartment,2010,Jagmohan Mundhra,,Thriller
Bird Idol,2010,Jyotin Goel,,Animation
City of Gold,2010,Mahesh Manjrekar,DAR Motion Pictures,"Crime, Drama"
Kuchh Kariye,2010,Jagbir Dahiya,,"Adventure, Drama, Musical"
Muskurake Dekh Zara,2010,Som Shekar,,"Romance, Comedy"
Chase,2010,Jagmohan Mundhra,,Action
House Full,2010,Sajid Khan,"Eros International , Nadiadwala Grandson Entertainment",Comedy
Badmaash Company,2010,Parmeet Sethi,Yash Raj Films,"Romance , Drama"
Bumm Bumm Bole,2010,Priyadarshan,"Percept Pictures , Sanjay Ghodawat Group",Drama
Admissions Open,2010,K.D. Satyam,,Drama
Kushti,2010,T K Rajeev Kumar,,"Comedy,Romance"
Kites,2010,Anurag Basu,"Reliance Big Pictures , FilmKraft Productions",Action
Raajneeti,2010,Prakash Jha,"UTV Motion Pictures, Walkwater Media, Prakash Jha Productions","Drama,Thriller"
Ek Second... Jo Zindagi Badal De?,2010,Partho Ghosh,,Thriller
Raavan,2010,Mani Ratnam,"Reliance Big Pictures , Madras Talkies","Action , Romance"
Krantiveer – The Revolution,2010,Mehul Kumar,,Action
Mr. Singh Mrs. Mehta,2010,Pravesh Raman,,Drama
I Hate Luv Storys,2010,Punit Malhotra,"UTV Motion Pictures, Dharma Productions",Romance
Milenge Milenge,2010,Satish Kaushik,"Sahara One Motion Pictures , Eros International , BSK Network & Entertainment",Romance
Red Alert: The War Within,2010,Anant Mahadevan,,Action
Lamhaa,2010,Rahul Dholakia,"PVR Pictures , G.S Entertainment",Action
Tere Bin Laden,2010,Abhishek Sharma,Walkwater Media,Comedy
Udaan,2010,Vikramaditya Motwane,UTV Spotboy,Drama
Khatta Meetha,2010,Priyadarshan,"Eros International , Hari Om Entertainment , Shree Ashtavinayak Cine Vision","Comedy , Drama , Romance"
Once Upon a Time in Mumbaai,2010,Milan Luthria,Balaji Motion Pictures,"Action , Romance , Thriller , Crime"
Aisha,2010,Rajshree Ojha,"PVR Pictures, Anil Kapoor Films Company","Romance , Comedy"
Help,2010,Rajeev Virani,,Horror
Peepli Live,2010,Anusha Rizvi,"UTV Motion Pictures , Aamir Khan Productions","  Comedy , Drama"
Lafangey Parindey,2010,Pradeep Sarkar,Yash Raj Films,Romance
...And Once Again,2010,Amol Palekar,,Drama
Hello Darling,2010,Manoj Tiwari,Mukta Arts,Comedy
Antardwand,2010,Sushil Rajpal,,Crime
Aashayein,2010,Nagesh Kukunoor,Percept Pictures,Drama
Soch Lo,2010,Sartaj Singh Pannu,,"Mystery, Suspense"
We Are Family,2010,Siddharth P. Malhotra,"UTV Motion Pictures, Columbia Pictures, Dharma Productions","Drama , Romance"
Mallika,2010,Wilson Louis,,Horror
The Film Emotional Atyachar,2010,Akshay Shere,,Drama
Dabangg,2010,Abhinav Kashyap,"Eros International , Shree Ashtavinayak Cine Vision , Arbaaz Khan Productions",Action
Kings of Devon,2010,Rahsaan Islam,"Eros International, Nadiadwala Grandson Entertainment",Comedy
Anjaana Anjaani,2010,Siddharth Anand,,Romance
Benny and Babloo,2010,Yunus Sajawal,,Comedy
Khichdi: The Movie,2010,Aatish Kapadia,"Fox Star Studios , Hats Off Productions",Comedy
Crook,2010,Mohit Suri,Vishesh Films,Thriller
Do Dooni Chaar,2010,Habib Faisal,"Walt Disney Pictures , Planman Motion Pictures",Comedy
Aakrosh,2010,Priyadarshan,"Eros International , Big Screen Entertainment, Zee Motion Pictures",Thriller
Pusher,2010,Assad Raja,,"Action, Drama"
Knock Out,2010,Mani Shankar,,Action
Kajraare,2010,Pooja Bhatt,T-Series Films,Romance
Ramayana: The Epic,2010,Cheetan Desai,"Warner Bros. Pictures , Maya Digital Media",Animation
Hisss,2010,Jennifer Lynch,,"Horror , Thriller"
Jhootha Hi Sahi,2010,Abbas Tyrewala,,Romance
Rakta Charitra,2010,Ram Gopal Verma,,"Action, Crime, Thriller,Drama,Biography"
Maalik Ek,2010,Deepak Balraj Vij,,"Biography, Animation"
Nakshatra,2010,Mohan Savalkar,,Romance
Golmaal 3,2010,Rohit Shetty,"Shree Ashtavinayak Cine Vision, Eros International, Shree Ashtavinayak Light Camera Action",Comedy
Action Replayy,2010,Vipul Amrutlal Shah,"PVR Pictures , Hari Om Entertainment , Sunshine Pictures",Comedy
Dunno Y... Na Jaane Kyon,2010,Sanjay Sharma,,Romance
A Flat,2010,Raaj Verma,,Thriller
Ramaa: The Saviour,2010,Haadi Abrar,,"Action, Adventure"
Guzaarish,2010,Sanjay Leela Bhansali,"UTV Motion Pictures , Sanjay Leela Bhansali Films","Romance , Drama"
"Shahrukh Bola ""Khoobsurat Hai Tu""",2010,Makrand Deshpande,,Thriller
Diwangi Ne Had Kar Di,2010,Jiten Purohit,,"Romance,Thriller"
Allah Ke Banday,2010,Faruk Kabir,,Thriller
Break Ke Baad,2010,Danish Aslam,"Reliance Big Pictures , Kunal Kohli Productions",Romance
Khuda Kasam,2010,K C Bokadia,,Action
Khelein Hum Jee Jaan Sey,2010,Ashutosh Gowariker,"PVR Pictures, Ashutosh Gowariker Productions","Action, Drama, History"
Phas Gaye Re Obama,2010,Subhash Kapoor,,"Comedy,Crime"
Rakta Charitra 2,2010,Ram Gopal Verma,,Biography
Band Baaja Baaraat,2010,Maneesh Sharma,Yash Raj Films,"Romance , Drama"
No Problem,2010,Anees Bazmee,"Eros International , Anil Kapoor Films Company, Spice Studios, Rawail Grandsons Entertainment & Software",Comedy
332 Mumbai to India,2010,Mahesh Pandey,,Thriller
Payback,2010,Sachin P. Karande,,Thriller
Kaalo,2010,Wilson Louis,,Horror
Mirch,2010,Vinay Shukla,Reliance Big Pictures,Drama
Tees Maar Khan,2010,Farah Khan,"Hari Om Entertainment , UTV Motion Pictures , Three's Company Productions","Action,Comedy"
Isi Life Mein...!,2010,Vidhi Kasliwal,,Drama
Toonpur Ka Superrhero,2010,Kireet Khurana,"Eros International , Big Screen Entertainment, Climb Media",Animation
Tera Kya Hoga Johnny,2010,Sudhir Mishra,,Thriller
Ada... A Way of Life,2010,Tanvir Ahmad,,Drama

No One Killed Jessica,2011,Raj Kumar Gupta,UTV Spotboy, Thriller
Impatient Vivek,2011,Rahat Kazmi,,"Comedy,Romance"
Yamla Pagla Deewana,2011,Samir Karnik,"One Up Entertainment, Top Angle Productions","Comedy , Drama , Action"
Turning 30!!!,2011,Alankrita Shrivastava,,"Romance,Comedy"
Mumbai Mast Kallander,2011,Aman Mihani,,Comedy
Odyssey of Persistence,2011,Sagar Ambre Nikunj Pathak,,"Biography, Sport"
Dhobi Ghat,2011,Kiran Rao,"UTV Motion Pictures , Aamir Khan Productions",Drama
Hostel,2011,Manish Gupta,,"Action, Crime"
Dil Toh Baccha Hai Ji,2011,Madhur Bhandarkar,"Bhandarkar Entertainment, Wide Frame Pictures, Baba Arts",Comedy
Yeh Saali Zindagi,2011,Sudhir Mishra,,"Crime, Drama, Thriller"
United Six,2011,Vishal Aryan Singh,,"Action,Thriller"
Utt Pataang,2011,Srikanth V. Velagaleti,"Warner Bros. Pictures , Rash Productions",Comedy
Angel,2011,Ganesh Acharya,,Drama
Patiala House,2011,Nikhil Advani,"T-Series Films , Hari Om Entertainment , People Tree Films, Emmay Entertainment","Family,Drama"
Aashiqui.in,2011,Shankhadeep,,Romance
7 Khoon Maaf,2011,Vishal Bhardwaj,"UTV Spotboy , VB Pictures","Drama, Mystery"
Kaccha Limboo,2011,Sagar Ballary,,"Comedy, Family"
Masti Express,2011,Vikram Pradhan,,Comedy
Tanu Weds Manu,2011,Aanand L. Rai,"Viacom18 Motion Pictures , Sanjay Singh Films, Soundrya Productions, Parmahans Creations","Romance , Drama"
Satrangee Parachute,2011,Vineet Khetrapal,,Family
Yeh Faasley,2011,Yogesh Mittal,,Drama
Happy Husbands,2011,Anay,,Comedy
Monica,2011,Sushen Bhatnagar,,Drama
Game,2011,Abhinay Deo,"Eros International, Excel Entertainment","Mystery , Action"
F.A.L.T.U,2011,Remo D'Souza,,"Comedy, Drama"
Memories in March,2011,Sanjoy Nag,,Drama
Thank You,2011,Anees Bazmee,"UTV Motion Pictures , Hari Om Entertainment",Comedy
Teen Thay Bhai,2011,Mirgdeep Singh Lamba,"PVR Pictures , ROMP Pictures",Drama
Dum Maaro Dum,2011,Rohan Sippy,"Fox Star Studios , Ramesh Sippy Entertainment, Loverture Films, Cheyenne Enterprises",Thriller
Zokkomon,2011,Satyajit Bhatkal,Walt Disney Pictures,Superhero
Shor in the City,2011,"Raj Nidimoru, Krishna Dk","Balaji Motion Pictures , ALT Entertainment","Crime, Drama"
Chalo Dilli,2011,Shashant Shah,"Eros International , Big Daddy Productions, Bheegi Basanti Entertainment","Comedy, Drama"
I Am,2011,Onir,Anticlock Films,Anthology
Naughty @ 40,2011,Jagmohan Mundhra,,Comedy
Luv Ka The End,2011,Bumpy,,"Comedy, Drama"
Haunted – 3D,2011,Vikram Bhatt,,Horror
Love U...Mr. Kalakaar!,2011,S. Manasvi,Rajshri Productions,"Romance , Comedy"
Ragini MMS,2011,Pawan Kripalani,"Balaji Motion Pictures , ALT Entertainment, iRock Films","Horror,Romance"
Shagrid,2011,Tigmanshu Dhulia,"Reliance Entertainment , Fairzee Production","Action,Drama"
Stanley Ka Dabba,2011,Amole Gupte,"Fox Star Studios , Amole Gupte Cinema","Comedy, Drama, Family"
404,2011,Prawaal Raman,,"Drama, Mystery, Thriller"
Crackers,2011,Anil Goyal,,Animation
Pyaar Ka Punchnama,2011,Luv Ranjan,"Viacom18 Motion Pictures , Wide Frame Pictures","Romance, Comedy"
Kucch Luv Jaisaa,2011,Barnali Ray Shukla,,"Drama , Comedy"
Ready,2011,Anees Bazmee,"T-Series Films, Sohail Khan Productions, One Up Entertainment, Rawail Grandsons Entertainment & Software, Wave Cinemas",Comedy
Shaitan,2011,Bejoy Nambiar,"Viacom18 Motion Pictures , Tipping Point Films, Anurag Kashyap Films , Getaway Pictures, Bohra Bros","Drama , Thriller"
Bheja Fry 2,2011,Sagar Ballary,,Comedy
Always Kabhi Kabhi,2011,Roshan Abbas,"Eros International , Red Chillies Entertainment","Romance , Drama , Comedy"
Bhindi Baazaar Inc.,2011,Ankush Bhatt,,Thriller
Bin Bulaye Baraati,2011,Chandrakant Singh,,Crime
Double Dhamaal,2011,Indra Kumar,"Reliance Entertainment , Maruti Pictures",Comedy
Bbuddah... Hoga Terra Baap,2011,Puri Jagannadh,"Viacom18 Motion Pictures, AB Corp","Action, Comedy, Crime, Thriller"
Delhi Belly,2011,Abhinay Deo,"UTV Motion Pictures , Aamir Khan Productions","Action,Comedy"
Murder 2,2011,Mohit Suri,Vishesh Films,"Action, Crime, Drama, Horror, Thriller"
Chillar Party,2011,"Vikas Bahl , Nitesh Tiwari","UTV Spotboy , Salman Khan Being Human Productions, Phantom Films","Comedy, Drama, Family"
Zindagi Na Milegi Dobara,2011,Zoya Akhtar,"Eros International , Excel Entertainment","Comedy, Drama, Musical, Romance"
Singham,2011,Rohit Shetty,Reliance Entertainment,Action
Khap,2011,Ajai Sinha,,"Drama, Thriller"
Gandhi to Hitler,2011,Rakesh Ranjan Kumar,,Biography
Bubble Gum,2011,Sanjivan Lal,,Drama
Chala Mussaddi... Office Office,2011,Rajiv Mehra,,"Comedy, Drama"
I Am Kalam,2011,Nila Madhab Panda,,Drama
Milta Hai Chance By Chance,2011,Ramesh Modi,,"Comedy,Romance"
Aagaah: The Warning,2011,Karan Razdan,,Horror
Aarakshan,2011,Prakash Jha,"Reliance Entertainment , Base Industries Group, Prakash Jha Productions","Drama, Thriller"
Phhir,2011,Girish Dhamija,"Reliance Entertainment , ASA Productions & Enterprises",Thriller
Chatur Singh Two Star,2011,Ajay Chandok,,Comedy
Not a Love Story,2011,Ram Gopal Varma,,Crime
Sahi Dhandhe Galat Bande,2011,Parvin Dabas,,Comedy
Chitkabrey - Shades of Grey,2011,Suneet Arora,,"Drama, Mystery, Thriller"
Shabri,2011,Lalit Marathe,Reliance Entertainment,Action
Yeh Dooriyan,2011,Deepshika,,Romance
Bodyguard,2011,Siddique,"Reliance Entertainment , Reel Life Production","Romance,Action"
Mummy Punjabi,2011,Pammi Somal,,Comedy
That Girl in Yellow Boots,2011,Anurag Kashyap,,"Crime, Drama, Mystery, Thriller"
Mere Brother Ki Dulhan,2011,Ali Abbas Zafar,Yash Raj Films,"Romance , Comedy"
Rivaaz,2011,Ashok Nanda,,"Crime, Drama, Thriller"
Mausam,2011,Pankaj Kapoor,"Eros International , Vistaar Religare Film Fund, Cinergy, Seasons of Love",Romance
U R My Jaan,2011,Aron Govil,,Romance
Force,2011,Nishikant Kamat,"Fox Star Studios , Sunshine Pictures",Action
Hum Tum Shabana,2011,Sagar Ballary,"Alliance Entertainment, Horseshoe Pictures","Romance,Comedy"
"Saheb, Biwi Aur Gangster",2011,Tigmanshu Dhulia,"BrandSmith Motion Pictures, Bohra Bros, Tigmanshu Dhulia Films","Action,Thriller"
Tere Mere Phere,2011,Deepa Sahi,,"Romance,Comedy"
Chargesheet,2011,Dev Anand,,"Drama,Thriller"
Na Jaane Kabse Hum Hi,2011,Pammi Somal,,Romance
Rascals,2011,"David Dhawan , Ajay Devgn , Arjun Rampal , Kangana Ranaut , Lisa Haydon , Sanjay Dutt",,"Comedy , Action"
Love Breakups Zindagi,2011,Sahil Sangha,"Sahara Motion Pictures , Born Free Entertainment",Romance
My Friend Pinto,2011,Raghav Dar,"UTV Motion Pictures , Sanjay Leela Bhansali Films","Romance , Comedy , Crime"
Mujhse Fraaandship Karoge,2011,Nupur Asthana,Y-Films,"Comedy,Romance"
Mod,2011,Nagesh Kukunoor,"Shreya Entertainment, Kukunoor Movies","Romance,Drama"
Aazaan,2011,Prashant Chadha,,"Action,Thriller"
Oh God! Saare Hain Fraud,2011,Ashu Trikha,,Comedy
Ra.One,2011,Anubhav Sinha,Red Chillies Entertainment,"Action , Sci-Fi"
Tell Me O Kkhuda,2011,Hema Malini,,Drama
Damadamm!,2011,Swapna Waghmare,,Comedy
Loot,2011,Rajneesh Thakur,"Viacom18 Motion Pictures, Popcorn Motion Pictures",Comedy
Miley Naa Miley Hum,2011,Tanveer Khan,,"Romance,Drama"
Rockstar,2011,Imtiaz Ali,"Shree Ashtavinayak Cine Vision , Shree Ashtavinayak LFS Infra, Eros International","Romance , Drama"
Super K – The Movie,2011,Vijay S. Bhanushali Smita Maroo,,Animation
Shakal Pe Mat Ja,2011,Shubh Mukherjee,,Comedy
Desi Boyz,2011,Rohit Dhawan,"Eros International , Next Gen Films",Comedy
The Dirty Picture,2011,Milan Luthria,"Balaji Motion Pictures, ALT Entertainment",Drama
I Am Singh,2011,Puneet Issar,,"Action,Crime,Drama"
Ladies vs Ricky Bahl,2011,Maneesh Sharma,Yash Raj Films,"Romance , Comedy , Crime"
Jo Hum Chahein,2011,Pawan Gill,,"Romance , Drama"
Pappu Can't Dance Saala,2011,Saurabh Shukla,,"Romance,Comedy"
Don 2,2011,Farhan Akhtar,"Reliance Entertainment , Excel Entertainment , Red Chillies Entertainment , Film Base Berlin, Medienboard Berlin-Brandenburg , Deutscher Filmförderfonds","Action , Thriller"

Players,2012,Abbas–Mustan,"Viacom18 Motion Pictures, Burmawala Bros.","Action , Thriller"
Chaalis Chauraasi,2012,Hriday Shetty,,"Comedy , Crime"
Ghost,2012,Puja Jatinder Bedi,,Horror
Sadda Adda,2012,Muazzam Beg,,Comedy
Agneepath,2012,Karan Malhotra,"Eros International , Dharma Productions","Action , Drama"
Gali Gali Chor Hai,2012,Rumi Jaffrey,,Drama
Staying Alive,2012,Anant Mahadevan,,"Crime, Drama"
Love You To Death,2012,Rafeeg Ellias,,Comedy
Ek Main Aur Ekk Tu,2012,Shakun Batra,"UTV Motion Pictures , Dharma Productions","Romance , Comedy"
Valentine's Night,2012,Krishan Kumar,,"Romance,Thriller"
Ekk Deewana Tha,2012,Gautham Vasudev Menon,"Fox Star Studios , Photon Kathaas Productions , RS Infotainment",Romance
?: A Question Mark,2012,Allyson Patel Yash Dave,,Horror
Married 2 America,2012,Dilip Shankar,,Drama
Jodi Breakers,2012,Ashwini Chaudhary,,Romance
Tere Naal Love Ho Gaya,2012,Mandeep Kumar,"UTV Motion Pictures , Tips Industries","Romance,Comedy"
"London, Paris, New York",2012,Anu Menon,"Fox Star Studios, Rose Movies",Romance
Paan Singh Tomar,2012,Tigmanshu Dhulia,"UTV Spotboy , Tigmanshu Dhulia Films",Crime
Will You Marry Me?,2012,Aditya Dutt,,Romance
Kahaani,2012,Sujoy Ghosh,"Viacom18 Motion Pictures , Pen Studios , Boundscript","Drama , Thriller"
Chaar Din Ki Chandni,2012,Samir Karnik,Top Angle Productions,Comedy
Say Yes to Love,2012,Mahrukh Mirza Beg,,Romance
Akkad Bakkkad Bam Be Bo,2012,Dweep Raj Kochhar,,Romance
Zindagi Tere Naam,2012,Ashu Trikha,,Romance
Agent Vinod,2012,Sriram Raghavan,"Eros International , Illuminati Films","Suspense , Thriller"
Blood Money,2012,Vishal Mahadkar,"Viacom18 Motion Pictures , Vishesh Films",Thriller
Bumboo,2012,Jagdish Rajpurohit,,Comedy
Housefull 2,2012,Sajid Khan,"Eros International, Nadiadwala Grandson Entertainment","Action,Comedy"
Bittoo Boss,2012,Supavitra Babul,"Viacom18 Motion Pictures , Wide Frame Pictures",Comedy
Ab Hoga Dharna Unlimited,2012,Deepak Tanwar,,Drama
Vicky Donor,2012,Shoojit Sircar,"Eros International , JA Entertainment, Rampage Motion Pictures, Rising Sun Films",Comedy
Hate Story,2012,Vivek Agnihotri,T-Series Films,Thriller
Chhodo Kal Ki Baatein,2012,Pramod Joshi,,Comedy
Tezz,2012,Priyadarshan,"Eros International , Venus Worldwide Entertainment , United 7 Entertainment",Action
Life Ki Toh Lag Gayi,2012,Rakesh Mehta,,Comedy
Jannat 2,2012,Kunal Deshmukh,"Fox Star Studios, Vishesh Films","Crime , Thriller"
Fatso!,2012,Rajat Kapoor,Pritish Nandy Communications,Comedy
The Forest,2012,Ashvin Kumar,,Horror
"Love, Lies & Seeta",2012,Chandra Pemmaraju,,Comedy
Dangerous Ishq,2012,Vikram Bhatt,"Reliance Entertainment , Dar Motion Pictures, ASA Productions & Enterprises","Romance , Thriller"
Chhota Bheem and the Curse of Damyaan,2012,Rajiv Chilaka,"PVR Pictures , Green Gold Animation",Animation
Ishaqzaade,2012,Habib Faisal,Yash Raj Films,Romance
Department,2012,Ram Gopal Varma,"Viacom18 Motion Pictures , Uberoi Line Productions, Wave Cinemas","Action,Crime"
Mr. Bhatti on Chutti,2012,Karan Razdan,,Comedy
Arjun: The Warrior Prince,2012,Arnab Chaudhuri,"Walt Disney Pictures , UTV Motion Pictures",Animation
MLA,2012,Shiv Dube,,Crime
Rakhtbee,2012,Anil Balani,,Romance
Yeh Khula Aasmaan,2012,Gitanjali Sinha,,Romance
"Love, Wrinkle-free",2012,Sandeep Mohan,,"Romance,Drama"
Rowdy Rathore,2012,Prabhu Deva,"UTV Motion Pictures, Bhansali Productions","Action, Comedy, Crime"
Shanghai,2012,Dibakar Banerjee,"PVR Pictures,DBP","Crime,Drama,Mystery,Thriller"
Ferrari Ki Sawaari,2012,Rajesh Mapuskar,"Eros International , Vinod Chopra Films","Drama , Comedy"
Qasam Se Qasam Se,2012,Azim Rizvi,,Romance
Teri Meri Kahaani,2012,Kunal Kohli,"Eros International , Kunal Kohli Productions","Romance , Comedy"
Gangs of Wasseypur – Part 1,2012,Anurag Kashyap,"Viacom18 Motion Pictures , Tipping Point Films, AKFPL , Phantom Films , Elle Driver, Bohra Bros","Crime,Thriller"
Maximum,2012,Kabeer Kaushik,,Thriller
Bol Bachchan,2012,Rohit Shetty,"Fox Star Studios, Devgn Films, Shree Ashtavinayak Cine Vision, Shree Ashtavinayak LFS Infra","Comedy , Action"
3 Bachelors,2012,Ajay Sinha,,Comedy
Cocktail,2012,Homi Adajania,"Eros International , Illuminati Films , Maddock Films",Romance
Gattu,2012,Rajan Khosa,,Drama
Challo Driver,2012,Vickrant Mahajan,,Comedy
Mere Dost Picture Abhi Baki Hai,2012,Rajnish Raj Thakur,,Comedy
Kyaa Super Kool Hain Hum,2012,Sachin Yardi,"Balaji Motion Pictures , ALT Entertainment",Comedy
Aalaap,2012,Manish Manikpuri,,Drama
Overtime,2012,Ajay Yadav,,Drama
Jism 2,2012,Pooja Bhatt,,Thriller
Krishna Aur Kans,2012,Vikram Veturi,Reliance Animation,Animation
Gangs of Wasseypur – Part 2,2012,Anurag Kashyap,"Viacom18 Motion Pictures , Tipping Point Films, AKFPL , Phantom Films , Bohra Bros","Crime,Thriller"
Paanch Ghantey Mien Paanch Crore,2012,Faisal Saif,,Thriller
Ek Tha Tiger,2012,Kabir Khan,Yash Raj Films,"Romance , Action"
Shirin Farhad Ki Toh Nikal Padi,2012,Bela Sehgal,"Eros International , Bhansali Productions","Romance , Comedy"
Joker,2012,Shirish Kunder,"Hari Om Entertainment , UTV Motion Pictures , Three's Company Productions",Drama
Jalpari: The Desert Mermaid,2012,Nila Madhab Panda,Ultra Media & Entertainment,"Drama, Family, Mystery"
From Sydney with Love,2012,Prateek Chakraborty,,Romance
I M 24,2012,Saurabh Shukla,"Mirchi Movies , Planman Motion Pictures",Comedy
Raaz 3: The Third Dimension,2012,,,"Suspense,Thriller"
Chal Pichchur Banate Hain,2012,Pritish Chakraborty,,Comedy
Barfi!,2012,Anurag Basu,"UTV Motion Pictures , Ishana Movies","Romance , Comedy"
Jeena Hai Toh Thok Daal,2012,Manish Vatsalya,,Drama
Heroine,2012,Madhur Bhandarkar,"UTV Motion Pictures , Bhandarkar Entertainment",Drama
Kamaal Dhamaal Malamaal,2012,Priyadarshan,Percept Pictures,Comedy
OMG – Oh My God!,2012,Umesh Shukla,"Viacom18 Motion Pictures , Spice Studios, Grazing Goat Pictures , Wave Cinemas","Comedy,Fantasy"
English Vinglish,2012,Gauri Shinde,"Eros International , R. S. Entertainment",Drama
Kismat Love Paisa Dilli,2012,Sanjay Khanduri,,Comedy
Aiyyaa,2012,Sachin Kundalkar,"Viacom18 Motion Pictures , AKFPL","Comedy,Romance"
Login,2012,Sanjeev Reddy,Cocktail Pictures,"Drama,Thriller"
Chittagong,2012,Bedabrata Pain,Bohra Bros,Drama
Bhoot Returns,2012,Ram Gopal Verma,"Eros International , Alumbra Entertainment",Horror
Student of the Year,2012,Karan Johar,"Dharma Productions , Red Chillies Entertainment","Romance , Comedy"
Delhi Safari,2012,Nikhil Advani,"Arc Entertainment, Applied Art Productions, Fantastic Films International, Krayon Pictures, Emmay Entertainment",Animation
Chakravyuh,2012,Prakash Jha,"Eros International , Prakash Jha Productions",Thriller
Ajab Gazabb Love,2012,Sanjay Gadhvi,,Comedy
Rush,2012,"Shamin Desai, Priyanka Desai",,"Thriller,Crime"
Luv Shuv Tey Chicken Khurana,2012,Sameer Sharma,UTV Motion Pictures,Comedy
1920: The Evil Returns,2012,Bhushan Patel,"Reliance Entertainment , ASA Productions & Enterprises",Horror
Ata Pata Laapata,2012,Rajpal Yadav,,"Musical,Comedy"
Sons of Ram,2012,Kushal Ruia,,"Animation,Drama"
Future To Bright Hai Ji,2012,Sanjay Amar,,Drama
Jab Tak Hai Jaan,2012,Yash Chopra,Yash Raj Films,"Romance , Drama"
Son Of Sardaar,2012,Ashwni Dhir,"Devgn Films , YRV Infra & Media, Viacom18 Motion Pictures , Eros International",Comedy
Talaash: The Answer Lies Within,2012,Reema Kagti,"Reliance Entertainment , Aamir Khan Productions, Excel Entertainment","Drama , Suspense"
Khiladi 786,2012,Ashish R Mohan,"Hari Om Entertainment, Eros International, HR Musik","Action , Comedy"
The Last Act,2012,12 directors,,Anthology
Cigarette Ki Tarah,2012,Akashaditya Lama,,"Drama , Thriller"
